,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,1820.0,1598.0,5532.0,1460.0,3873.0,1230.0,2387.0,1156.0,3517.0,2135.0,1384.0,758.0,3318.0,485.0,2087.0,1236.0,1069.0,755.0,3137.0,480.0,1216.0,1884.0,753.0,734.0,746.0,1154.0,2396.0,510.0,742.0,427.0,1033.0,1805.0,883.0
Seg_Pct,1.0,0.20335195530726258,0.17854748603351955,0.6181005586592179,0.16312849162011173,0.43273743016759775,0.13743016759776536,0.26670391061452514,0.12916201117318435,0.3929608938547486,0.23854748603351955,0.15463687150837988,0.0846927374301676,0.37072625698324024,0.05418994413407821,0.23318435754189945,0.1381005586592179,0.1194413407821229,0.08435754189944134,0.3505027932960894,0.053631284916201116,0.1358659217877095,0.2105027932960894,0.0841340782122905,0.08201117318435754,0.08335195530726257,0.1289385474860335,0.2677094972067039,0.05698324022346369,0.0829050279329609,0.04770949720670391,0.11541899441340782,0.2016759776536313,0.09865921787709497
BALANCE,1452.3995929909956,3785.59309815535,1643.115372652813,629.6996661474569,1708.9885787691076,314.7649401045012,4488.423044173162,1576.878121034352,4611.709645208466,340.9815955244624,1616.6417186880558,1763.036390014592,761.2602938916874,339.6471830491517,4236.7538717669995,1619.6882494274075,827.193827849353,4526.254769818365,762.8265952223828,285.00738745449155,4207.5688096318645,812.7032538320726,1592.563720010086,5261.627124219815,745.0827238513615,2128.340489542026,823.522160015121,204.39641189580547,2711.9120443039174,752.3564248165757,4328.359499921418,865.1936093331067,1530.230131053739,4658.612095630089
BALANCE_FREQUENCY,0.8832520119553052,0.9722804071428568,0.9726597640800992,0.8281353693058541,0.9761494965753413,0.7641419816679577,0.9671647463414629,0.9764527478005859,0.9729333088235291,0.7733011111742958,0.9860762304449637,0.9788059559248544,0.7925519775725589,0.7637295201928868,0.9919233628865977,0.9869364575946326,0.9665242823624581,0.9710508222637976,0.7914627801324499,0.7619091769206245,0.9923758479166664,0.9665119720394724,0.9901177473460715,0.9872922988047806,0.7914455926430515,0.9030073083109905,0.9707550103986125,0.7453900421535895,0.9906912352941175,0.7905323894878704,0.9918340374707258,0.8233995411423038,0.9837773988919659,0.970859633069082
PURCHASES_FREQUENCY,0.4903505483798885,0.3211526587912085,0.9199071408010002,0.42193202422270565,0.9260887191780811,0.492648852310872,0.3141303691056911,0.3109084704650194,0.3181110233564014,0.4955139775376761,0.3173259306791571,0.9294182984104034,0.41473960290237466,0.4716066416515992,0.9229730453608248,0.3169381662673697,0.9094740064724908,0.26079927315247914,0.41304688211920526,0.4901667076825009,0.9258480791666667,0.9090541710526306,0.33941000212314243,0.28659233466135464,0.4186124073569482,0.18586262332439682,0.9208386048526854,0.49758749749582715,0.5268310450980396,0.4132396347708895,0.9292905807962529,0.43533982962245854,0.2692957030470909,0.25579898754246927
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.10716968461538491,0.6897209299123906,0.09305375921908829,0.7021560678082189,0.10508760495739694,0.12250574878048792,0.09600420779220821,0.12629617474048452,0.1132257665624108,0.09589592599531661,0.7060724017341039,0.11324652110817941,0.08245881766124218,0.5903979360824742,0.09454411164350784,0.6998804652103561,0.09808512254443393,0.11236569536423842,0.08428430793752047,0.597794758333333,0.7007008675986843,0.10094894373673069,0.11106345949535198,0.11308278882833786,0.0694119209115283,0.7216000849220104,0.07177931385642752,0.11915128627450994,0.11200101347708896,0.6303859882903982,0.13396693707647617,0.09047843324099743,0.10479998980747444
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.23315022967032958,0.630724979349185,0.33070901518438134,0.6468061952054779,0.38946446294861803,0.21972431300812992,0.22568931378299104,0.22305551643598615,0.391144326130224,0.23399546135831373,0.6603760520231199,0.283201410290238,0.3906693661844477,0.7495516329896907,0.2343460996645902,0.5765771399676373,0.1756068746492049,0.28144013774834487,0.4074622684093075,0.7540450687499999,0.5760548338815786,0.25230248832271746,0.19434317928286854,0.2858894550408724,0.12005308042895442,0.5823336031195838,0.42535414148580847,0.43337542549019603,0.2821134460916447,0.7621974238875876,0.31809822458857706,0.18861999889196687,0.16499456172140428
CASH_ADVANCE_FREQUENCY,0.12763742659218116,0.29770251483516386,0.06467206508135163,0.08987534906001404,0.06414314657534244,0.05240827472243752,0.3423590723577225,0.1778915236698779,0.3389226937716256,0.04799801080466319,0.16500669133489457,0.06450576589595373,0.18494203693931388,0.049696305605786736,0.14311506391752593,0.16429406468615237,0.04239541747572818,0.34853443124415295,0.18567690596026482,0.03781694070768244,0.14026557083333346,0.04031036430921054,0.14822021178344005,0.3498900066401073,0.18152809536784734,0.310218058981234,0.04461357798960141,0.04147124332220364,0.12405967647058837,0.18460343261455517,0.14908854098360677,0.06879194869312695,0.17932841440443237,0.37695236693091755
PURCHASES_TRX,12.684022346368716,7.636813186813187,37.23466833541927,7.252711496746204,38.62123287671233,8.467079783113865,7.817886178861789,6.169250104733976,8.131487889273357,9.02189365936878,6.482435597189696,39.53468208092485,5.060686015831134,8.284508740204943,44.7979381443299,6.300431241015812,33.76132686084142,5.310570626753976,4.96953642384106,8.610137073637233,45.24166666666667,33.688322368421055,6.889596602972399,6.043824701195219,5.028610354223433,3.497319034852547,34.81109185441941,8.638146911519199,12.827450980392157,4.963611859838275,46.667447306791566,8.368828654404647,5.086426592797784,5.294450736126841
CREDIT_LIMIT,4366.667327459594,6260.524475524725,6639.142678347935,3087.159803924144,6786.369863013699,3703.718401404948,7865.369549150408,2159.4749336686214,8005.324001258652,3938.8551566272386,2166.84621389555,6860.549132947976,2445.049845360639,3872.180378224533,8232.98969072165,2153.9610285898416,5961.617387466828,7976.477591632368,2450.3944142826017,3730.8557522948677,8291.145833333334,5968.264055023848,2000.0,8454.515272244356,2410.0106032470903,5680.457388903485,5666.551126516464,2512.9662864031716,3366.9607843137255,2417.988925584049,8894.262295081968,7874.575376220717,2107.017543859834,8238.566869144961
